Step,T_CE,T_Acc,T_Res,V_CE,V_Acc,V_Res,E_CE,E_Acc,E_Res,Time
69500,0.025306539827510716,0.99162,49581.0,0.05261488851737231,0.9867,9867.0,0.05144443399757147,0.9862,9862.0,210.72251415252686
70000,0.027301854412555695,0.99124,49562.0,0.053047189562767744,0.9868,9868.0,0.052431033545732496,0.9856,9856.0,212.2133800983429
70500,0.028614071770906448,0.99042,49521.0,0.05370336355250329,0.9865,9865.0,0.05411009843759239,0.9853,9853.0,214.12545108795166
71000,0.02700914015419781,0.99138,49569.0,0.05331464129015803,0.9874,9874.0,0.05355889433789998,0.9857,9857.0,215.6091730594635
71500,0.02523232640877366,0.99214,49607.0,0.05238793233409524,0.9876,9876.0,0.05284279983509332,0.986,9860.0,217.09976506233215
72000,0.02767414156898856,0.99096,49548.0,0.05431575767844916,0.9869,9869.0,0.05130314533431083,0.986,9860.0,218.59372305870056
72500,0.02650622503519058,0.99162,49581.0,0.053904748175665734,0.9867,9867.0,0.05105890799686313,0.9863,9863.0,220.08754515647888
73000,0.027335365917384623,0.99128,49564.0,0.05217632978446782,0.9873,9873.0,0.050649504894390705,0.986,9860.0,221.57933521270752
73500,0.02750027794957161,0.99068,49534.0,0.05308411308191717,0.9869,9869.0,0.05254592617154121,0.9859,9859.0,223.0700500011444
74000,0.02591279891014099,0.99122,49561.0,0.05342126618102193,0.9872,9872.0,0.05333038650862872,0.9858,9858.0,224.5648820400238
74500,0.028082842846512794,0.99124,49562.0,0.05324185368530452,0.9876,9876.0,0.05006099180355668,0.9865,9865.0,226.05718898773193
75000,0.026750604940205813,0.99098,49549.0,0.0554049885250628,0.9869,9869.0,0.05105717992596328,0.9859,9859.0,227.54970717430115
75500,0.026316207932531834,0.99158,49579.0,0.05280932426843792,0.9875,9875.0,0.05461606494821608,0.9855,9855.0,229.0418450832367
76000,0.026587765335440636,0.99136,49568.0,0.0513247770505026,0.9883,9883.0,0.050289802525006234,0.9862,9862.0,230.53406500816345
76500,0.026189496928751468,0.99118,49559.0,0.053577445354498925,0.9878,9878.0,0.055181174672022465,0.9857,9857.0,232.02771615982056
77000,0.026445579392015934,0.99126,49563.0,0.053960774294286966,0.987,9870.0,0.052618472512811425,0.9857,9857.0,233.52261209487915
77500,0.026248910080492495,0.99118,49559.0,0.053131724458932876,0.987,9870.0,0.05284608513489365,0.9858,9858.0,235.01547598838806
78000,0.02383576492547989,0.99176,49588.0,0.05406282171048224,0.9876,9876.0,0.051501949475705626,0.9869,9869.0,236.50685620307922
78500,0.02738099438004196,0.99124,49562.0,0.05516861288137734,0.9868,9868.0,0.05515032327426597,0.9858,9858.0,237.99844098091125
79000,0.025772739587575196,0.9914,49570.0,0.05301780743673444,0.9874,9874.0,0.05305507601406425,0.9861,9861.0,239.48976016044617
79500,0.024437626283094288,0.99182,49591.0,0.05456045148782432,0.9869,9869.0,0.05133770115785301,0.9863,9863.0,240.98355197906494
80000,0.02631844742104411,0.99082,49541.0,0.05569388763457537,0.9864,9864.0,0.0519586081802845,0.9859,9859.0,242.47710609436035
80500,0.025021929506212473,0.99188,49594.0,0.05358562963455916,0.9881,9881.0,0.049521932258829476,0.9872,9872.0,244.39379811286926
81000,0.026985227767899633,0.9911,49555.0,0.05252395530641079,0.9876,9876.0,0.05057740154508501,0.986,9860.0,245.88343906402588
81500,0.023947449421584607,0.99216,49608.0,0.05255297552868724,0.987,9870.0,0.051905775415711106,0.9861,9861.0,247.37616205215454
82000,0.024430851529091597,0.99204,49602.0,0.05349886864535511,0.9875,9875.0,0.05364609158392995,0.9853,9853.0,248.86846804618835
82500,0.024842401573210954,0.99154,49577.0,0.053258246390149,0.9876,9876.0,0.052823367133922876,0.9855,9855.0,250.36154317855835
83000,0.024277153985649346,0.99208,49604.0,0.055154573991056534,0.987,9870.0,0.05272358188256621,0.9864,9864.0,251.8502471446991
