Step,T_CE,T_Acc,T_Res,V_CE,V_Acc,V_Res,E_CE,E_Acc,E_Res,Time
12500,1.085389105987549,0.60404,30202.0,,,,1.0447840858459472,0.6221,6221.0,646.0105879306793
13000,1.047354011077881,0.62112,31056.0,,,,1.013580079650879,0.6383,6383.0,671.9882719516754
13500,0.9949575053405761,0.64118,32059.0,,,,0.9524887603759765,0.6592,6592.0,697.9947299957275
14000,0.9526151893615723,0.6581,32905.0,,,,0.8879313652038574,0.6857,6857.0,723.8947410583496
14500,0.9121094557189942,0.67404,33702.0,,,,0.8953179203033447,0.6869,6869.0,749.8199188709259
15000,0.8712277519226074,0.68884,34442.0,,,,0.9318598175048828,0.6725,6725.0,775.7309949398041
15500,0.8363530899810792,0.7047,35235.0,,,,0.8299180202484131,0.7138,7138.0,801.6361570358276
16000,0.8003153034210205,0.71854,35927.0,,,,0.8634156040191651,0.7021,7021.0,827.5343379974365
16500,0.7619145306396484,0.73396,36698.0,,,,0.8098005672454834,0.7269,7269.0,853.4752099514008
17000,0.7389355912780762,0.74256,37128.0,,,,0.7962355201721192,0.7315,7315.0,879.3930289745331
17500,0.7122304242706299,0.75304,37652.0,,,,0.7557750221252442,0.7404,7404.0,905.3637320995331
18000,0.6890884911346435,0.7595,37975.0,,,,0.7900255939483642,0.7328,7328.0,931.2876160144806
18500,0.658175134048462,0.76848,38424.0,,,,0.7899650325775146,0.7318,7318.0,957.2475430965424
19000,0.6399225296020508,0.7772,38860.0,,,,0.7164236576080322,0.7541,7541.0,983.140851020813
19500,0.6087704065704346,0.78664,39332.0,,,,0.7141606830596924,0.7576,7576.0,1009.0600769519806
20000,0.5921722431182861,0.7947,39735.0,,,,0.6882117980957031,0.7696,7696.0,1035.0481889247894
20500,0.5682500384521484,0.8021,40105.0,,,,0.7202648235321045,0.7561,7561.0,1060.9754509925842
21000,0.5502850828552246,0.8088,40440.0,,,,0.7322942863464356,0.759,7590.0,1086.9454848766327
21500,0.5383649785232544,0.8141,40705.0,,,,0.741792753982544,0.7518,7518.0,1112.8472969532013
22000,0.526889443397522,0.81682,40841.0,,,,0.7120238964080811,0.7607,7607.0,1138.8129370212555
22500,0.5082869398117066,0.8237,41185.0,,,,0.683891860961914,0.7773,7773.0,1164.740732908249
23000,0.48617672775268556,0.83202,41601.0,,,,0.6704857753753662,0.7779,7779.0,1190.6757578849792
23500,0.4732193013381958,0.83766,41883.0,,,,0.6580963691711426,0.7812,7812.0,1216.578113079071
24000,0.4656536906814575,0.83942,41971.0,,,,0.6600303215026856,0.7807,7807.0,1242.5148689746857
24500,0.44484547874450686,0.84684,42342.0,,,,0.6728676769256592,0.7779,7779.0,1268.3965089321136
25000,0.42755975063323975,0.85246,42623.0,,,,0.7073639205932617,0.7749,7749.0,1294.3080101013184
