Step,T_CE,T_Acc,T_Res,V_CE,V_Acc,V_Res,E_CE,E_Acc,E_Res,Time
15000,0.8693966891479492,0.68952,34476.0,,,,0.9252956741333008,0.6734,6734.0,779.2352130413055
15500,0.8304121138000489,0.70788,35394.0,,,,0.8279785560607911,0.7143,7143.0,805.2635850906372
16000,0.7939552338409424,0.72072,36036.0,,,,0.8654823017120361,0.7025,7025.0,831.2687931060791
16500,0.7600458338928223,0.73342,36671.0,,,,0.7730987388610839,0.7398,7398.0,857.3142042160034
17000,0.7284721471405029,0.74496,37248.0,,,,0.7731805717468262,0.7336,7336.0,883.3300311565399
17500,0.7010999488830566,0.75716,37858.0,,,,0.729037190246582,0.7529,7529.0,909.3435261249542
18000,0.6805233055877685,0.76254,38127.0,,,,0.7308840305328369,0.7548,7548.0,935.3779311180115
18500,0.6575855458831787,0.77156,38578.0,,,,0.7349069332122803,0.7552,7552.0,961.394248008728
19000,0.6308477073669434,0.77996,38998.0,,,,0.7343681102752686,0.7514,7514.0,987.4082372188568
19500,0.6032251075744629,0.79034,39517.0,,,,0.7013043491363525,0.76,7600.0,1013.4360871315002
20000,0.5891543389892578,0.79598,39799.0,,,,0.7027709575653076,0.7611,7611.0,1039.4765491485596
20500,0.5668892156219483,0.80316,40158.0,,,,0.6695423286437988,0.7748,7748.0,1065.5153551101685
21000,0.5470730396270752,0.8103,40515.0,,,,0.7008920948028564,0.768,7680.0,1091.569030046463
21500,0.5302159621429443,0.81692,40846.0,,,,0.664845350265503,0.7742,7742.0,1117.6704621315002
22000,0.520688706626892,0.81966,40983.0,,,,0.7116945030212403,0.7645,7645.0,1143.7227380275726
22500,0.4997679323196411,0.82672,41336.0,,,,0.660383088684082,0.782,7820.0,1169.802020072937
23000,0.47507222583770753,0.83582,41791.0,,,,0.6652680469512939,0.7813,7813.0,1195.8564360141754
23500,0.46956102798461913,0.83816,41908.0,,,,0.6647218154907226,0.7819,7819.0,1221.9439690113068
24000,0.4542364589691162,0.8421,42105.0,,,,0.6606368225097656,0.787,7870.0,1248.0112750530243
24500,0.43759443859100344,0.8508,42540.0,,,,0.6856795879364014,0.781,7810.0,1274.1193420886993
25000,0.43125156799316405,0.85248,42624.0,,,,0.6776044620513916,0.7859,7859.0,1300.1747620105743
25500,0.41253473186492917,0.85766,42883.0,,,,0.67043713722229,0.7834,7834.0,1326.243902206421
26000,0.41437203353881835,0.85692,42846.0,,,,0.6587729438781739,0.7896,7896.0,1352.337401151657
26500,0.39133285846710203,0.8657,43285.0,,,,0.6615443916320801,0.7939,7939.0,1378.424062013626
27000,0.3845839352035522,0.86742,43371.0,,,,0.6613742546081542,0.7901,7901.0,1404.5516002178192
27500,0.3732225664901733,0.87098,43549.0,,,,0.6440889873504638,0.7954,7954.0,1430.6475760936737
