Step,T_CE,T_Acc,T_Res,V_CE,V_Acc,V_Res,E_CE,E_Acc,E_Res,Time
28500,0.36513928201675416,0.87552,43776.0,,,,0.7103784816741944,0.7763,7763.0,2479.462676048279
29000,0.3579521533584595,0.87814,43907.0,,,,0.6466941184997559,0.7934,7934.0,2505.7100961208344
29500,0.35202383934021,0.87886,43943.0,,,,0.7010110534667969,0.7775,7775.0,2532.1058230400085
30000,0.3463532393074036,0.88198,44099.0,,,,0.6515313335418701,0.7922,7922.0,2558.3526451587677
30500,0.33383527519226075,0.88722,44361.0,,,,0.6944661434173584,0.7788,7788.0,2584.80303812027
31000,0.33256253435134886,0.88672,44336.0,,,,0.71600703125,0.7743,7743.0,2611.0665559768677
31500,0.32044088399887083,0.89096,44548.0,,,,0.6774056274414062,0.7805,7805.0,2637.4527821540833
32000,0.3221573222732544,0.89002,44501.0,,,,0.6626629737854004,0.7901,7901.0,2663.979283094406
32500,0.3043656978225708,0.89638,44819.0,,,,0.6753179145812989,0.7866,7866.0,2690.2956891059875
33000,0.308157225856781,0.89412,44706.0,,,,0.6814678256988526,0.7871,7871.0,2716.5945019721985
33500,0.30263695203781127,0.8966,44830.0,,,,0.7001490756988525,0.789,7890.0,2768.8226261138916
34000,0.2926227460479736,0.90058,45029.0,,,,0.6940988075256348,0.788,7880.0,2797.276922941208
34500,0.2891728705024719,0.90192,45096.0,,,,0.6959226932525635,0.7877,7877.0,2823.5388979911804
35000,0.28263631019592284,0.90396,45198.0,,,,0.7695947643280029,0.7673,7673.0,2849.7520220279694
35500,0.284048583240509,0.90278,45139.0,,,,0.6753655155181885,0.7915,7915.0,2875.9957480430603
36000,0.2769511878967285,0.90516,45258.0,,,,0.6952681217193604,0.7869,7869.0,2902.2149419784546
36500,0.2700937098503113,0.908,45400.0,,,,0.6931132329940796,0.789,7890.0,2928.466310977936
37000,0.27054135711669924,0.90874,45437.0,,,,0.6903223327636718,0.7909,7909.0,2954.7234721183777
37500,0.2651896208953857,0.91036,45518.0,,,,0.711045955657959,0.7801,7801.0,2980.9345779418945
38000,0.2631175019073486,0.91142,45571.0,,,,0.6912235412597656,0.7934,7934.0,3007.1221051216125
38500,0.25373727293014525,0.91346,45673.0,,,,0.6981598468780518,0.7898,7898.0,3033.3923740386963
39000,0.24583611028671265,0.91806,45903.0,,,,0.7466574382781982,0.7817,7817.0,3059.5602021217346
39500,0.2554341081237793,0.91592,45796.0,,,,0.6746787761688232,0.7975,7975.0,3085.7945280075073
40000,0.24369528350830078,0.91736,45868.0,,,,0.7199283576965332,0.7883,7883.0,3111.9573180675507
40500,0.23414348217010497,0.92104,46052.0,,,,0.7113433288574219,0.7882,7882.0,3138.2540509700775
41000,0.24058384007453917,0.91962,45981.0,,,,0.712218399810791,0.7894,7894.0,3164.482859134674
41500,0.23452817764282227,0.92148,46074.0,,,,0.6957987731933594,0.7974,7974.0,3190.7530200481415
42000,0.2270846718978882,0.92496,46248.0,,,,0.7036932201385498,0.7968,7968.0,3216.9835319519043
42500,0.23299558975219725,0.92232,46116.0,,,,0.6957377151489258,0.7917,7917.0,3243.2077980041504
43000,0.22655522634506225,0.92396,46198.0,,,,0.7220605026245117,0.7949,7949.0,3269.640881061554
43500,0.21625275164604188,0.92866,46433.0,,,,0.7134725589752198,0.7928,7928.0,3295.8392770290375
44000,0.22225224146842956,0.92634,46317.0,,,,0.7059932987213134,0.7945,7945.0,3322.2055339813232
44500,0.20911016770362853,0.92924,46462.0,,,,0.7398418609619141,0.7904,7904.0,3348.420397043228
45000,0.21378645359039306,0.92862,46431.0,,,,0.7475187187194824,0.7845,7845.0,3374.6868250370026
45500,0.2092486834526062,0.92952,46476.0,,,,0.796060262298584,0.786,7860.0,3400.9477350711823
46000,0.2091329842376709,0.92986,46493.0,,,,0.7107166027069092,0.7963,7963.0,3427.191967010498
46500,0.20763187487602233,0.92974,46487.0,,,,0.7330023399353027,0.7981,7981.0,3453.439994096756
47000,0.19787804183483124,0.93458,46729.0,,,,0.722578918838501,0.7933,7933.0,3479.6910309791565
47500,0.20636150121688843,0.93042,46521.0,,,,0.7234938045501709,0.7938,7938.0,3506.020185947418
48000,0.19806242344856262,0.93462,46731.0,,,,0.7451921108245849,0.7898,7898.0,3532.2365469932556
48500,0.19372358987808228,0.93508,46754.0,,,,0.780443249130249,0.792,7920.0,3558.4633491039276
49000,0.1888291796398163,0.93756,46878.0,,,,0.7277091934204102,0.7951,7951.0,3584.6757180690765
49500,0.18399820826530455,0.93822,46911.0,,,,0.7275678657531738,0.8015,8015.0,3610.9355821609497
50000,0.19696593940734863,0.93454,46727.0,,,,0.7333950412750244,0.7933,7933.0,3637.196942090988
50500,0.18785033873558044,0.93572,46786.0,,,,0.7723987224578858,0.7949,7949.0,3663.464267015457
51000,0.18210250100135802,0.9381,46905.0,,,,0.7513109743118286,0.7904,7904.0,3689.670070171356
51500,0.1934405272579193,0.93658,46829.0,,,,0.7214578735351562,0.7879,7879.0,3716.01211810112
52000,0.18490516127586365,0.9391,46955.0,,,,0.7371876022338867,0.7914,7914.0,3742.3094489574432
52500,0.1840930465221405,0.9394,46970.0,,,,0.7468573745727539,0.7927,7927.0,3768.567351102829
53000,0.17742287262916565,0.94134,47067.0,,,,0.7668693538665772,0.7884,7884.0,3794.8110830783844
53500,0.1734977479839325,0.94264,47132.0,,,,0.7837117244720458,0.7839,7839.0,3821.0475039482117
54000,0.1686438379573822,0.94336,47168.0,,,,0.7319074016571044,0.7958,7958.0,3847.4315490722656
54500,0.1722743139219284,0.94314,47157.0,,,,0.749489400100708,0.7983,7983.0,3873.6585569381714
55000,0.17125132972717286,0.94366,47183.0,,,,0.7649914688110352,0.7942,7942.0,3899.9163060188293
55500,0.1685956510925293,0.94546,47273.0,,,,0.7824990661621094,0.7821,7821.0,3926.181916952133
56000,0.16326541330337524,0.94642,47321.0,,,,0.7827145278930664,0.7893,7893.0,3952.513762950897
56500,0.16372079523086547,0.94506,47253.0,,,,0.7417870124816894,0.7999,7999.0,3978.7723841667175
57000,0.16536348118782043,0.94448,47224.0,,,,0.753720431137085,0.7888,7888.0,4005.0684139728546
57500,0.16443964228630065,0.94646,47323.0,,,,0.7531218448638916,0.7956,7956.0,4031.376065015793
58000,0.16253670484542845,0.94656,47328.0,,,,0.8009574787139893,0.785,7850.0,4057.57524394989
58500,0.15431319368839264,0.9486,47430.0,,,,0.7402706237792969,0.8,8000.0,4083.9091119766235
59000,0.15765789734840394,0.94786,47393.0,,,,0.7791110893249512,0.7927,7927.0,4110.137680053711
59500,0.15272253628730775,0.94954,47477.0,,,,0.7754283180236816,0.7874,7874.0,4136.46564912796
60000,0.15747518384456635,0.94768,47384.0,,,,0.8316507732391357,0.7777,7777.0,4162.713818073273
60500,0.156569137134552,0.94864,47432.0,,,,0.7432097789764405,0.805,8050.0,4188.9674780368805
61000,0.15162606408119203,0.95036,47518.0,,,,0.769372900390625,0.7941,7941.0,4215.252246141434
61500,0.15246983892917634,0.9505,47525.0,,,,0.7644250049591065,0.7896,7896.0,4241.49099612236
62000,0.1471908231115341,0.95182,47591.0,,,,0.7500695335388183,0.7953,7953.0,4267.777627944946
62500,0.15044689018249513,0.95128,47564.0,,,,0.7594554290771485,0.7968,7968.0,4294.0128490924835
63000,0.14208808217048646,0.95168,47584.0,,,,0.7673077014923095,0.7958,7958.0,4320.349898099899
63500,0.14559373972415923,0.95226,47613.0,,,,0.8247491027832031,0.7831,7831.0,4346.573934078217
