Step,T_CE,T_Acc,T_Res,V_CE,V_Acc,V_Res,E_CE,E_Acc,E_Res,Time
22500,0.012052027626633644,0.99976,49988.0,0.06357740756869316,0.9814,9814.0,0.05586579394340515,0.9822,9822.0,1820.6150331497192
23000,0.012045189065337181,0.99978,49989.0,0.06394864766001701,0.9816,9816.0,0.055509218883514407,0.9824,9824.0,1860.7540061473846
23500,0.012017357003688812,0.99972,49986.0,0.0633101841211319,0.9821,9821.0,0.05568573672771454,0.9823,9823.0,1900.583323955536
24000,0.012002686582803726,0.9998,49990.0,0.06393979894518852,0.9814,9814.0,0.05626664155721665,0.9823,9823.0,1940.3093881607056
24500,0.012020505302548409,0.99976,49988.0,0.06418255566358566,0.9808,9808.0,0.055952010917663574,0.9822,9822.0,1980.0464799404144
25000,0.012068129813075066,0.99982,49991.0,0.06357615771889687,0.9813,9813.0,0.05553982777297497,0.9822,9822.0,2019.8797359466553
25500,0.012030524687170982,0.9998,49990.0,0.06342969762682915,0.9816,9816.0,0.05583166559934616,0.9824,9824.0,2059.6739571094513
26000,0.012051637807488441,0.99984,49992.0,0.06341455045938492,0.9813,9813.0,0.05575333231091499,0.9818,9818.0,2099.51714015007
26500,0.012064710235595704,0.9998,49990.0,0.06365031011104584,0.9816,9816.0,0.05528088092803955,0.9821,9821.0,2139.2454199790955
27000,0.012039769154191016,0.99984,49992.0,0.06398065726757049,0.9817,9817.0,0.055765003830194476,0.9822,9822.0,2178.9064259529114
27500,0.012025322027206421,0.99982,49991.0,0.06368579921126366,0.9816,9816.0,0.055292416036129,0.9821,9821.0,2218.6970839500427
28000,0.01200032165646553,0.9998,49990.0,0.06370429731011391,0.9814,9814.0,0.055991801166534426,0.9819,9819.0,2258.6254320144653
28500,0.012049801253080368,0.9998,49990.0,0.06367491084933281,0.9814,9814.0,0.05593162348866463,0.9822,9822.0,2298.8762521743774
29000,0.012008701435923577,0.99984,49992.0,0.06395612578988075,0.9814,9814.0,0.05579488538503647,0.9817,9817.0,2339.128393173218
29500,0.012039256899356842,0.99982,49991.0,0.06356799899339675,0.9819,9819.0,0.05539927530288696,0.9821,9821.0,2379.472093105316
30000,0.012035337715148926,0.99978,49989.0,0.06352213472723961,0.9822,9822.0,0.05528971178531647,0.9824,9824.0,2419.8368079662323
